-1.074000,-0.737151,1143.779175,1143.779175,1556.220825,1556.220825
-1.087339,-0.593127,1334.525024,1334.525024,1365.474976,1365.474976
-1.093979,-0.680429,1335.638062,1335.638062,1364.361938,1364.361938
-1.095600,-0.069549,1336.508667,1336.508667,1363.491333,1363.491333
-1.082109,0.112052,1339.377686,1339.377686,1360.622314,1360.622314
-1.064740,0.439550,1340.271606,1340.271606,1359.728394,1359.728394
-1.037151,0.162455,1342.429810,1342.429810,1357.570190,1357.570190
-1.002056,0.397386,1344.190186,1344.190186,1355.809814,1355.809814
-0.963711,0.296304,1345.223389,1345.223389,1354.776611,1354.776611
-0.924382,0.102982,1345.861694,1345.861694,1354.138306,1354.138306
-0.882971,0.040698,1346.722534,1346.722534,1353.277466,1353.277466
-0.834974,-0.081275,1348.473999,1348.473999,1351.526001,1351.526001
-0.789286,-0.860260,1348.597290,1348.597290,1351.402710,1351.402710
-0.756650,-1.206436,1346.630371,1346.630371,1353.369629,1353.369629
-0.720313,-1.606246,1347.723999,1347.723999,1352.276001,1352.276001
-0.695891,-1.965925,1345.864014,1345.864014,1354.135986,1354.135986
-0.667142,-2.274543,1346.979980,1346.979980,1353.020020,1353.020020
-0.650731,-2.537899,1344.947998,1344.947998,1355.052002,1355.052002
-0.633556,-2.861838,1345.284302,1345.284302,1354.715698,1354.715698
-0.618553,-2.893828,1345.065674,1345.065674,1354.934326,1354.934326
-0.592380,-3.031827,1347.383423,1347.383423,1352.616577,1352.616577
-0.595186,-3.408214,1342.126343,1342.126343,1357.873657,1357.873657
-0.600133,-2.559343,1341.674561,1341.674561,1358.325439,1358.325439
-0.605237,-3.212625,1341.577637,1341.577637,1358.422363,1358.422363
-0.620310,-3.324731,1339.594849,1339.594849,1360.405151,1360.405151
-0.635017,-2.102729,1339.476685,1339.476685,1360.523315,1360.523315
-0.648961,-3.076794,1339.438843,1339.438843,1360.561157,1360.561157
-0.673769,-1.679876,1337.177612,1337.177612,1362.822388,1362.822388
-0.686046,0.538013,1339.277588,1339.277588,1360.722412,1360.722412
-0.692033,-1.345131,1340.329712,1340.329712,1359.670288,1359.670288
-0.713474,-2.999597,1337.282104,1337.282104,1362.717896,1362.717896
-0.741172,1.266561,1335.814575,1335.814575,1364.185425,1364.185425
-0.737405,2.153182,1341.514526,1341.514526,1358.485474,1358.485474
-0.741670,-2.978006,1340.008789,1340.008789,1359.991211,1359.991211
-0.767377,-1.060759,1335.831543,1335.831543,1364.168457,1364.168457
-0.769230,3.527527,1340.093750,1340.093750,1359.906250,1359.906250
-0.745088,0.773492,1345.053711,1345.053711,1354.946289,1354.946289
-0.751163,-4.354127,1339.532715,1339.532715,1360.467285,1360.467285
-0.763106,3.896957,1338.323975,1338.323975,1361.676025,1361.676025
-0.727170,6.550567,1347.364624,1347.364624,1352.635376,1352.635376
-0.681162,-2.246749,1349.721558,1349.721558,1350.278442,1350.278442
-0.659280,8.297623,1345.633545,1345.633545,1354.366455,1354.366455
-0.597233,0.893237,1353.600586,1353.600586,1346.399414,1346.399414
-0.611546,-14.854345,1339.677002,1339.677002,1360.322998,1360.322998
-0.705477,-17.194738,1324.209839,1324.209839,1375.790161,1375.790161
-0.753362,0.159023,1331.914551,1331.914551,1368.085449,1368.085449
-0.721966,5.848475,1346.553101,1346.553101,1353.446899,1353.446899
-0.688602,-7.655213,1347.299683,1347.299683,1352.700317,1352.700317
-0.673872,4.101103,1344.114014,1344.114014,1355.885986,1355.885986
-0.717556,-29.716156,1333.066650,1333.066650,1366.933350,1366.933350
-0.804054,-29.288727,1324.312622,1324.312622,1375.687378,1375.687378
-0.923237,-14.485010,1316.987915,1316.987915,1383.012085,1383.012085
-1.053717,-4.596944,1313.376099,1313.376099,1386.623901,1386.623901
-1.082999,-1.861034,1331.227417,1331.227417,1368.772583,1368.772583
-0.991918,12.681311,1353.973633,1353.973633,1346.026367,1346.026367
-0.866166,16.975769,1361.713135,1361.713135,1338.286865,1338.286865
-0.759789,-30.688375,1359.493164,1359.493164,1340.506836,1340.506836
-0.855367,1.790815,1321.984131,1321.984131,1378.015869,1378.015869
-0.864230,-10.193179,1337.475952,1337.475952,1362.524048,1362.524048
-0.868782,11.627126,1338.187012,1338.187012,1361.812988,1361.812988
-0.726150,14.746367,1366.382935,1366.382935,1333.617065,1333.617065
-0.620330,0.405443,1361.019165,1361.019165,1338.980835,1338.980835
-0.646900,-8.634713,1336.862183,1336.862183,1363.137817,1363.137817
-0.718662,-12.528259,1327.858154,1327.858154,1372.141846,1372.141846
-0.818870,-10.929391,1321.525391,1321.525391,1378.474609,1378.474609
-0.880335,1.241063,1327.751099,1327.751099,1372.248901,1372.248901
-0.937974,-13.316877,1327.736694,1327.736694,1372.263306,1372.263306
-0.990050,-26.874516,1328.101318,1328.101318,1371.898682,1371.898682
-1.116046,9.650892,1313.270386,1313.270386,1386.729614,1386.729614
-1.071991,-8.369865,1344.395386,1344.395386,1355.604614,1355.604614
-1.110499,5.758574,1329.058716,1329.058716,1370.941284,1370.941284
-1.085830,-14.006826,1340.713379,1340.713379,1359.286621,1359.286621
-1.129252,10.921128,1327.922485,1327.922485,1372.077515,1372.077515
-1.081107,-9.184987,1344.969238,1344.969238,1355.030762,1355.030762
-1.088713,9.768214,1334.829834,1334.829834,1365.170166,1365.170166
-1.017651,11.445812,1349.830688,1349.830688,1350.169312,1350.169312
-0.953386,-0.870826,1349.366699,1349.366699,1350.633301,1350.633301
-0.907597,3.487941,1346.579834,1346.579834,1353.420166,1353.420166
